year,rank,artist,song,lyrics
2012,1,"Psy","Gangnam Style","오빤 강남 스타일|강남 스타일|낮에는 따사로운 인간적인 여자|커피 한잔의 여유를 아는 품격 있는 여자|밤이 오면 심장이 뜨거워지는 여자|그런 반전 있는 여자|나는 사나이|낮에는 너만큼 따사로운 그런 사나이|커피 식기도 전에 원샷 때리는 사나이|밤이 오면 심장이 터져 버리는 사나이|그런 사나이|아름다워 사랑스러워|그래 너 (Hey)|그래 바로 너 (Hey)|아름다워 사랑스러워|그래 너 (Hey)|그래 바로 너 (Hey)|지금부터 갈 데까지 가 볼까|오빤 강남 스타일, uh|강남 스타일|옵, 옵, 옵, 옵|오빤 강남 스타일, uh|강남 스타일|옵, 옵, 옵, 옵|오빤 강남 스타일|에, sexy lady|옵, 옵, 옵, 옵|오빤 강남 스타일|에, sexy lady|옵, 옵, 옵, 옵|에-에-에-에-에-에|정숙해 보이지만 놀 땐 노는 여자|이때다 싶으면 묶었던 머리 푸는 여자|가렸지만 웬만한 노출보다 야한 여자|그런 감각적인 여자|나는 사나이|점잖아 보이지만 놀 땐 노는 사나이|때가 되면 완전 미쳐 버리는 사나이|근육보다 사상이 울퉁불퉁한 사나이|그런 사나이|아름다워 사랑스러워|그래 너 (Hey)|그래 바로 너 (Hey)|아름다워 사랑스러워|그래 너 (Hey)|그래 바로 너 (Hey)|지금부터 갈 데까지 가 볼까|오빤 강남 스타일, uh|강남 스타일|옵, 옵, 옵, 옵|오빤 강남 스타일, uh|강남 스타일|옵, 옵, 옵, 옵|오빤 강남 스타일|에, sexy lady|옵, 옵, 옵, 옵|오빤 강남 스타일|에, sexy lady|옵, 옵, 옵, 옵|에-에-에-에-에-에|뛰는 놈 그 위에 나는 놈|Baby baby, 나는 뭘 좀 아는 놈|뛰는 놈 그 위에 나는 놈|Baby baby, 나는 뭘 좀 아는 놈|You know what I'm saying|오빤 강남 스타일|에-에-에-에-에-에-에, sexy lady|옵, 옵, 옵, 옵|오빤 강남 스타일|에, sexy lady|옵, 옵, 옵, 옵|에-에-에-에-에-에|오빤 강남 스타일40"
2012,2,"Maroon 5 (featuring Wiz Khalifa)","Payphone","I'm at a payphone, tryin' to call home|All of my change I spent on you|Where have the times gone? Baby, it's all wrong|Where are the plans we made for two?|Yeah, I, I know it's hard to remember|The people we used to be|It's even harder to picture|That you're not here next to me|You say it's too late to make it|But is it too late to try?|And in our time that you wasted|All of our bridges burned down|I've wasted my nights|You turned out the lights|Now I'm paralyzed|Still stuck in that time|When we called it Love|But even the sun|Sets in paradise|I'm at a payphone, tryin' to call home|All of my change I spent on you|Where have the times gone? Baby, it's all wrong|Where are the plans we made for two?|If happy-ever-after's did exist|I would still be holdin' you like this|All those fairytales are full of shit|One more fuckin' love song, I'll be sick, oh|You turned your back on tomorrow|'Cause you forgot yesterday|I gave you my love to borrow|But you just gave it away|You can't expect me to be fine (Oh-oh)|I don't expect you to care (Yeah)|I know I said it before|But all of our bridges burned down|I've wasted my nights|You turned out the lights|Now I'm paralyzed|Still stuck in that time|When we called it Love|But even the sun|Sets in paradise|I'm at a payphone, tryin' to call home|All of my change I spent on you (Oh, oh-oh-oh)|Where have the times gone? Baby, it's all wrong|Where are the plans we made for two? (Yeah)|If happy-ever-after's did exist|I would still be holdin' you like this|And all those fairytales are full of shit|One more fuckin' love song, I'll be sick (Yeah, uh)|Now, I'm at a payphone|Man, fuck that shit|I'll be out spendin' all this money while you're sittin' 'round|Wondering why it wasn't you who came up from nothin'|Made it from the bottom, now when you see me, I'm stuntin'|And all of my cars start with the push of a button|Telling me I changed since I blew up or whatever you call it|Switched the number to my phone so you never could call it|Don't need my name on my shirt, you can tell that I'm ballin'|Swish, what a shame, coulda got picked|Had a really good game, but you missed your last shot|So you talk about who you see at the top|Or what you could've saw, but sad to say it's over for|Phantom pulled up, valet open doors|Wished I'd go away, got what you was looking for|Now it's me who they want|So you can go take that little piece of shit with you (Yeah)|I'm at a payphone, tryin' to call home|All of my change I spent on you (Woo)|Where have the times gone? Baby, it's all wrong (Yeah)|Where are the plans we made for two? (Yeah)|If happy-ever-after's did exist (Oh)|I would still be holdin' you like this|And all these fairytales are full of shit (Yeah)|One more fuckin' love song, I'll be sick|Yeah, now, I'm at a payphone100"
2012,3,"Rihanna","Diamonds","Shine bright like a diamond|Shine bright like a diamond|Find light in the beautiful sea|I choose to be happy|You and I, you and I, we're like diamonds in the sky|You're a shooting star I see, a vision of ecstasy|When you hold me, I'm alive, we're like diamonds in the sky|I knew that we'd become one right away|Oh, right away|At first sight, I felt the energy of sun rays|I saw the life inside your eyes|So shine bright, tonight, you and I|We're beautiful, like diamonds in the sky|Eye to eye, so alive|We're beautiful, like diamonds in the sky|Shine bright like a diamond (Woah)|Shine bright like a diamond (Woah)|Shinin' bright like a diamond|We're beautiful, like diamonds in the sky|Shine bright like a diamond (Woah)|Shine bright like a diamond (Woah)|Shinin' bright like a diamond|We're beautiful, like diamonds in the sky|Palms rise to the universe as we moonshine and molly|Feel the warmth, we'll never die|We're like diamonds in the sky|You're a shooting star I see, a vision of ecstasy|When you hold me, I'm alive|We're like diamonds in the sky|At first sight, I felt the energy of sun rays|I saw the life inside your eyes|So shine bright, tonight, you and I|We're beautiful, like diamonds in the sky|Eye to eye, so alive|We're beautiful, like diamonds in the sky|Shine bright like a diamond (Woah)|Shine bright like a diamond (Woah)|Shinin' bright like a diamond|We're beautiful, like diamonds in the sky|Shine bright like a diamond (Woah)|Shine bright like a diamond (Woah)|Shinin' bright like a diamond|We're beautiful, like diamonds in the sky|Shine bright like a diamond|Shine bright like a diamond|Shine bright like a diamond|So shine bright, tonight, you and I|We're beautiful, like diamonds in the sky|Eye to eye, so alive|We're beautiful, like diamonds in the sky|Shine bright like a diamond (Woah)|Shine bright like a diamond (Woah)|Shine bright like a diamond|Oh-oh, yeah|Shine bright like a diamond (Woah)|Shine bright like a diamond (Woah)|Shine bright like a diamond|Shine bright like a diamond91"
2012,4,"One Direction","Live While We're Young","Hey, girl, I'm waitin' on ya, I'm waitin' on ya|Come on and let me sneak you out|And have a celebration, a celebration|The music up, the windows down|Yeah, we'll be doing what we do|Just pretending that we're cool and we know it, too|Yeah, we'll keep doing what we do|Just pretending that we're cool, so tonight|Let's go crazy, crazy, crazy till we see the Sun|I know we only met, but let's pretend it's love|And never, never, never stop for anyone|Tonight, let's get some and live while we're young|Oh-oh, oh, oh, oh|Oh-oh, oh, oh, oh|And live while we're young|Oh-oh, oh, oh, oh|Tonight, let's get some and live while we're young|Hey girl, it's now or never, it's now or never|Don't overthink, just let it go|And if we get together, yeah, get together|Don't let the pictures leave your phone, oh-oh-oh|Yeah, we'll be doing what we do|Just pretending that we're cool, so tonight|Let's go crazy, crazy, crazy till we see the Sun|I know we only met, but let's pretend it's love|And never, never, never stop for anyone|Tonight, let's get some and live while we're young|Oh-oh, oh, oh, oh|Oh-oh, oh, oh, oh|Wanna live while we're young|Oh-oh, oh, oh, oh|Tonight, let's get some and live while we're young|And, girl, you and I|We're 'bout to make some memories tonight (Oh-oh-oh-oh-oh)|I wanna live while we're young (Oh-oh-oh-oh-oh)|We wanna live while we're young|Let's go crazy, crazy, crazy till we see the Sun (Till we see the Sun)|I know we only met, but let's pretend it's love|And never, never, never stop for anyone (Anyone)|Tonight, let's get some and live while we're young (Young)|Crazy, crazy, crazy till we see the Sun|I know we only met, but let's pretend it's love (Let's pretend it's love)|And never, never, never stop for anyone|Tonight, let's get some (Let's get some) and live while we're young|Wanna live, wanna live, wanna live while we're young (C'mon; Young)|Wanna live, wanna live, wanna live while we're young (Wanna live while we're young)|Wanna live, wanna live, wanna live while we're young|Tonight, let's get some and live while we're young31"
2012,5,"Bruno Mars","Locked Out of Heaven","(One, two, one, two, three)|Aw, yeah, yeah|Aw, yeah, yeah, yeah, yeah (Uh)|Aw, yeah, yeah|Aw, yeah, yeah, yeah, yeah (Uh)|Never had much faith in love or miracles (Uh)|Never wanna put my heart on the line (Uh)|But swimmin' in your water's somethin' spiritual (Uh)|I'm born again every time you spend the night, —ight (Uh)|'Cause your sex takes me to paradise|Yeah, your sex takes me to paradise|And it shows|Yeah, yeah, yeah|'Cause you make me feel like|I've been locked outta heaven|For too long|For too long|Yeah, you make me feel like|I've been locked outta heaven|For too long|For too long|Aw, yeah, yeah, yeah, yeah (Uh)|Aw, yeah, yeah|Aw, yeah, yeah, yeah, yeah (Uh)|You bring me to my knees, you make me testify (Uh)|You can make a sinner change his ways (Uh)|Open up your gates 'cause I can't wait to see the light (Uh)|And right there is where I wanna stay, —ay (Uh)|'Cause your sex takes me to paradise|Yeah, your sex takes me to paradise|And it shows|Yeah, yeah, yeah|'Cause you make me feel like|I've been locked outta heaven|For too long|For too long|Yeah, you make me feel like|I've been locked outta heaven|For too long|For too long|Oh, woah, woah, woah|Yeah, yeah, yeah|Can I just stay here?|Spend the rest of my days here?|Oh, woah, woah, woah|Yeah, yeah, yeah|Can I just stay here?|Spend the rest of my days here?|'Cause you make me feel like|I've been locked outta heaven|For too long|For too long|Yeah, you make me feel like|I've been locked outta heaven|For too long|For too long|Aw, yeah, yeah, yeah, yeah (Uh)|Aw, yeah, yeah|Aw, yeah, yeah, yeah, yeah (Uh)81"
2012,6,"Nicki Minaj","Starships","RedOne|Uh|Let's go to the beach-each, let's go get a wave|They say, what they gonna say|Have a drink, clink, found the Bud Light|Bad bitches like me is hard to come by|The Patrón own, let's go get it on|The zone on, yes, I'm in the zone|Is it two, three? Leave a good tip|I'ma blow off my money and don't give two shits, oh-oh|I'm on the floor, floor, I love to dance|So give me more, more 'til I can't stand|Get on the floor, floor like it's your last chance|If you want more, more, then here I am|Starships were meant to fly|Hands up and touch the sky (Oh-oh-oh-oh)|Can't stop 'cause we're so high|Let's do this one more time (Oh-oh-oh-oh)|Starships, were meant to fly|Hands up and touch the sky (Oh-oh-oh-oh)|Let's do this one last time|Can't stop|We're higher than a motherfucka|We're higher than a motherfucka|We're higher than a motherfucka|Jump in my hoopty-hoopty-hoop, I own that|And I ain't payin' my rent this month, I owe that|But fuck who you want, and fuck who you like|Dancehall life, there's no end in sight|Twinkle, twinkle little star|Now everybody let me hear you say, Ray, ray, ray|Now spend all your money, 'cause today payday|And if you a G, you a G-G-G|My name is Onika, you can call me Nicki (Woo)|Get on the floor, floor like it's your last chance|If you want more, more, then here I am|Starships were meant to fly|Hands up and touch the sky (Oh-oh-oh-oh)|Can't stop 'cause we're so high|Let's do this one more time (Oh-oh-oh-oh)|Starships, were meant to fly|Hands up, and touch the sky (Oh-oh-oh-oh)|Let's do this one last time|Can't stop|We're higher than a motherfucka|We're higher than a motherfucka|We're higher than a motherfucka|Starships were meant to fly|Hands up and touch the sky|Can't stop 'cause we're so high|Let's do this one more time (Oh-oh-oh-oh)|Starships, were meant to fly|Hands up, and touch the sky (Oh-oh-oh-oh)|Let's do this one last time|Can't stop|We're higher than a motherfucka|We're higher than a motherfucka|We're higher than a motherfucka72"
2012,7,"Pink","Blow Me (One Last Kiss)","White knuckles|And sweaty palms from hanging on too tight|Clenched shut jaw|I've got another headache again tonight|Eyes on fire, eyes on fire|And they burn from all the tears|I've been crying, I've been crying|I've been dying over you|Tie a knot in the rope|Tryna hold, tryna to hold|But there's nothing to grab|So I let go|I think I finally had enough|I think I maybe think too much|I think this might be it for us|Blow me one last kiss|You think I'm just too serious|I think you're full of shit|My head is spinning so|Blow me one last kiss|Just when it can't get worse|I've had a shit day|Have you had a shit day?|We've had a shit day|I think that life's too short for this|I want back my ignorance and bliss|I think I've had enough of this|Blow me one last kiss|I won't miss|All of the fighting that we always did|Take it in|I mean what I say when I say there is nothing left|No more sick Whiskey dick|No more battles for me|You'll be calling a trick|'Cause you no longer sleep|I'll dress nice, I'll look good|I'll go dancing alone|I will laugh, I'll get drunk|I'll take somebody home|I think I finally had enough|I think I maybe think too much|I think this might be it for us|Blow me one last kiss|You think I'm just too serious|I think you're full of shit|My head is spinning so|Blow me one last kiss|Just when it can't get worse|I've had a shit day|Have you had a shit day?|We've had a shit day|I think that life's too short for this|I want back my ignorance and bliss|I think I've had enough of this|Blow me one last kiss|Da, da da da da, da da da da|Blow me one last kiss|Da, da da da da, da da da da|Blow me one last kiss|I will do what I please|Anything that I want|I will breathe, I will breathe|I won't worry at all|You will pay for your sins|You'll be sorry, my dear|All the lies, all the why's will all be crystal clear|I think I finally had enough|I think I maybe think too much|I think this might be it for us|Blow me one last kiss|You think I'm just too serious|I think you're full of shit|My head is spinning so|Blow me one last kiss|Just when it can't get worse|I've had a shit day|Have you had a shit day?|We've had a shit day|I think that life's too short for this|I want back my ignorance and bliss|I think I've had enough of this|Blow me one last kiss|La la la la la, la la la la la, la la la la la|Blow me one last kiss|La la la la la, la la la la la, la la la la la|Blow me one last kiss|Just when it can't get worse|I've had a shit day|Have you had a shit day?|We've had a shit day|I think that life's too short for this|I want back my ignorance and bliss|I think I've had enough of this|Blow me one last kiss12"
2012,8,"Usher","Climax","Going nowhere fast|We've reached the climax|We're together, now we're undone|Won't commit, so we choose to run away|Do we separate?|Oh, don't wanna give in, so we both gave up|Can't take it back, it's too late, we've reached the climax|Climax|I've fallen somehow|Feet off the ground|Love is the cloud|That keeps raining down|Where are you now|When I need you around?|I'm on my knees|But it seems we're|Going nowhere fast|We've reached the climax|We're together, now we're undone|Won't commit, so we choose to run away|Do we separate?|Oh, don't wanna give in, so we both gave up|Can't take it back, it's too late, we've reached the climax|Climax|I gave my best, it wasn't enough|You get upset, we argue too much|We made a mess of what used to be love|So why do I care, I care at all|At all|At all, at all|Going nowhere fast|We've reached the climax|We're together, now we're undone|Won't commit, so we choose to run away|Do we separate?|Oh, don't wanna give in, so we both gave up|Can't take it back, it's too late, we've reached the climax|Climax|You say it's better if we|Love each other separately|I just need you one more time|I can't get what we had out my mind|Where are you now|When I need you around?|I'm on my knees|But it seems we're going|Nowhere fast|We've reached the climax|We're together, now we're undone|Won't commit, so we choose to run away|Do we separate?|Oh, don't wanna give in, so we both gave up|Can't take it back, it's too late, we've reached the climax|Climax42"
2012,9,"Frank Ocean","Thinkin Bout You","A tornado flew around my room before you came|Excuse the mess it made, it usually doesn't rain in|Southern California, much like Arizona|My eyes don't shed tears, but boy, they pour when|I'm thinkin' 'bout you, ooh no, no, no|I've been thinkin' bout you, you know, know, know|I've been thinkin' bout you, do you think about me still?|Do ya, do ya?|Or do you not think so far ahead?|'Cause I been thinkin' bout forever, ooh|Or do you not think so far ahead?|'Cause I been thinkin' bout forever, ooh|No, I don't like you, I just thought you were cool enough to kick it|Got a beach house I could sell you in Idaho|Since you think I don't love you, I just thought you were cute|That's why I kissed you|Got a fighter jet, I don't get to fly it though, I'm lying down|Thinkin' 'bout you, ooh no, no, no|I've been thinkin' bout you, you know, know, know|I've been thinkin' bout you, do you think about me still?|Do ya, do ya?|Or do you not think so far ahead?|'Cause I been thinkin' bout forever, ooh|Or do you not think so far ahead?|'Cause I been thinkin' bout forever, ooh|Yes, of course, I remember, how could I forget (How could I forget?) how you feel? (How you feel)|You know you were my first time, a new feel|It won't ever get old, not in my soul, not in my spirit, keep it alive|We'll go down this road 'til it turns from color to black and white|Or do you not think so far ahead?|'Cause I been thinkin' bout forever, ooh|Or do you not think so far ahead?|'Cause I been thinkin' bout forever, ooh415"
2012,10,"Lumineers","Ho Hey","Ho!|Hey!|Ho!|Hey!|Ho!|I've been tryin' to do it right (Hey!)|I've been livin' a lonely life (Ho!)|I've been sleepin' here instead (Hey!)|I've been sleepin' in my bed (Ho!)|Sleepin' in my bed (Hey! Ho! Ho!)|So show me family (Hey!)|All the blood that I will bleed (Ho!)|I don't know where I belong (Hey!)|I don't know where I went wrong (Ho!)|But I can write a song (Hey!)|(Two, three)|I belong with you, you belong with me|You're my sweetheart|I belong with you, you belong with me|You're my sweet|Ho!|Hey! (Come on, now)|Ho!|Hey, hey! (Woo)|Ho!|I don't think you're right for him (Hey!)|Think of what it might have been if we (Ho!)|Took a bus to Chinatown (Hey!)|I'd be standin' on Canal (Ho!)|And Bowery (Hey! Ho!)|She'd be standin' next to me (Hey!)|(Two, three)|I belong with you, you belong with me|You're my sweetheart|I belong with you, you belong with me|You're my sweetheart|Love, we need it now|Let's hope for some|'Cause oh, we're bleedin' out|I belong with you, you belong with me|You're my sweetheart|I belong with you, you belong with me|You're my sweet|Ho!|Hey!|Ho! (Last one)|Hey!55"
2013,1,"Daft Punk (featuring Pharrell and Nile Rodgers)","Get Lucky","Like the legend of the phoenix, huh|All ends with beginnings|What keeps the planet spinning, uh-huh|The force from the beginning|Look|We've come too far|To give up who we are|So let's raise the bar|And our cups to the stars|She's up all night 'til the sun|I'm up all night to get some|She's up all night for good fun|I'm up all night to get lucky|We're up all night 'til the sun|We're up all night to get some|We're up all night for good fun|We're up all night to get lucky|Wе're up all night to get lucky|We'rе up all night to get lucky|We're up all night to get lucky|We're up all night to get lucky|She's up all night 'til the sun|I'm up all night to get some|She's up all night for good fun|I'm up all night to get lucky|She's up all night 'til the sun|I'm up all night to get some|She's up all night for good fun (Fun)|Hi, Barbie"
2013,2,"Robin Thicke (featuring T.I. and Pharrell)","Blurred Lines","Everybody get up|Everybody get up|Hey, hey, hey|Hey, hey, hey (Uh)|Hey, hey, hey (Ha-ha Woo)|Tune me up|If you can't hear what I'm trying to say (Hey, girl, come here)|If you can't read from the same page (Hey)|Maybe I'm going deaf (Hey, hey, hey)|Maybe I'm going blind (Hey, hey, hey)|Maybe I'm out of my mind (Hey, hey, hey)|Everybody get up|Okay, now he was close|Tried to domesticate you|But you're an animal|Baby, it's in your nature (Meow)|Just let me liberate you (Hey, hey, hey)|You don't need no takers (Hey, hey, hey)|That man is not your maker (Hey, hey, hey)|And that's why I'm gon' take a (Everybody get up)|Good girl|I know you want it (Hey)|I know you want it|I know you want it|You're a good girl|Can't let it get past me|You're far from plastic (Alright)|Talkin' 'bout getting blasted|I hate these blurred lines|I know you want it (Hey)|I know you want it (Oh yeah)|I know you want it|But you're a good girl|The way you grab me|Must wanna get nasty|Go ahead, get at me|Everybody get up (Come on)|What do they make dreams for (Why?)|When you got them jeans on? (Why?)|What do we need steam for?|You the hottest bitch in this place|I feel so lucky (Hey, hey, hey)|You wanna hug me (Hey, hey, hey)|What rhymes with hug me? (Hey, hey, hey)|Hey (Everybody get up)|Okay, now he was close|Tried to domesticate you|But you're an animal|Baby, it's in your nature (Uh-huh)|Just let me liberate you (Hey, hey, hey) (Uh-huh)|You don't need no takers (Hey, hey, hey) (Uh-huh)|That man is not your maker (Hey, hey, hey) (Uh-huh)|And that's why I'm gon' take a (Everybody get up)|Good girl|I know you want it|I know you want it (Hey)|I know you want it|You're a good girl|Can't let it get past me (Hey)|You're far from plastic (Oh)|Talkin' 'bout getting blasted (Everybody get up)|I hate these blurred lines (Hate them lines)|I know you want it (I hate them lines)|I know you want it (I hate them lines)|I know you want it|But you're a good girl (Good girl)|The way you grab me|Must wanna get nasty|Go ahead, get at me (Everybody get up)|Hustle Gang, homie|Let go|Ay, say Rob, let me holla at 'em real quick|One thing I ask of you|Let me be the one you back that ass up to (Come on)|Go from Malibu to Paris, boo (Yeah)|Had a bitch, but she ain't bad as you|So, hit me up when you pass through|I'll give you something big enough to tear your ass in two|Swag on 'em even when you dress casual|I mean, it's almost unbearable (Everybody get up)|In a hundred years not dare would I|Pull a Pharcyde, let you pass me by|Nothin' like your last guy, he too square for you|He don't smack that ass and pull your hair like that|So I'm just watchin' and waitin'|For you to salute the true big pimpin' (Okay)|Not many women can refuse this pimpin'|I'm a nice guy, but don't get it confused, get pimpin' (Everybody get up)|Shake your rump|Get down, get up-a|Do it like it hurt, like it hurt|What, you don't like work?|Hey (Everybody get up)|Baby, can you breathe?|I got this from Jamaica|It always works for me|Dakota to Decatur (Uh-huh)|No more pretending (Hey, hey, hey) (Uh-huh)|'Cause now you're winning (Hey, hey, hey) (Uh-huh)|Here's our beginning (Hey, hey, hey) (Uh-huh)|I always wanted a|You're a good girl (Everybody get up)|I know you want it (Hey)|I know you want it|I know you want it|You're a good girl|Can't let it get past me (Oh yeah)|You're far from plastic (Alright)|Talkin' 'bout getting blasted|I hate these blurred lines (Everybody get up)|I know you want it (Hey)|I know you want it (Oh yeah)|I know you want it|But you're a good girl|The way you grab me|Must wanna get nasty (Hey)|Go ahead, get at me|Everybody get up|Everybody get up|Hey, hey, hey|Hey, hey, hey|Hey, hey, hey111"
2013,3,"Pharrell Williams","Happy","It might seem crazy what I'm 'bout to say|Sunshine she's here, you can take a break|I'm a hot air balloon that could go to space|With the air, like I don't care, baby, by the way|(Because I'm happy)|Clap along if you feel like a room without a roof|(Because I'm happy)|Clap along if you feel like happiness is the truth|(Because I'm happy)|Clap along if you know what happiness is to you|(Because I'm happy)|Clap along if you feel like that's what you wanna do|Here come bad news, talking this and that (Yeah!)|Well, give me all you got, don't hold it back (Yeah!)|Well, I should probably warn ya, I'll be just fine (Yeah!)|No offense to you, don’t waste your time, here's why|(Because I'm happy)|Clap along if you feel like a room without a roof|(Because I'm happy)|Clap along if you feel like happiness is the truth|(Because I'm happy)|Clap along if you know what happiness is to you|(Because I'm happy)|Clap along if you feel like that's what you wanna do|Bring me down|Can't nothing bring me down|My level's too high to bring me down|Can't nothing bring me down, I said|Bring me down|Can't nothing bring me down|My level's too high to bring me down|Can't nothing bring me down, I said|(Because I'm happy)|Clap along if you feel like a room without a roof|(Because I'm happy)|Clap along if you feel like happiness is the truth|(Because I'm happy)|Clap along if you know what happiness is to you|(Because I'm happy)|Clap along if you feel like that's what you wanna do|(Because I'm happy)|Clap along if you feel like a room without a roof|(Because I'm happy)|Clap along if you feel like happiness is the truth|(Because I'm happy)|Clap along if you know what happiness is to you|(Because I'm happy)|Clap along if you feel like that's what you wanna do|Bring me down|Can't nothing bring me down|My level's too high to bring me down|Can't nothing bring me down, I said...|(Because I'm happy)|Clap along if you feel like a room without a roof|(Because I'm happy)|Clap along if you feel like happiness is the truth|(Because I'm happy)|Clap along if you know what happiness is to you|(Because I'm happy)|Clap along if you feel like that's what you wanna do|(Because I'm happy)|Clap along if you feel like a room without a roof|(Because I'm happy)|Clap along if you feel like happiness is the truth|(Because I'm happy)|Clap along if you know what happiness is to you|(Because I'm happy)|Clap along if you feel like that's what you wanna do (Come on)885"
2013,4,"Lorde","Royals","I've never seen a diamond in the flesh|I cut my teeth on wedding rings in the movies|And I'm not proud of my address|In a torn-up town, no postcode envy|But every song's like|Gold teeth, Grey Goose, trippin' in the bathroom|Bloodstains, ball gowns, trashin' the hotel room|We don't care, we're driving Cadillacs in our dreams|But everybody's like|Cristal, Maybach, diamonds on your timepiece|Jet planes, islands, tigers on a gold leash|We don't care, we aren't caught up in your love affair|And we'll never be royals (Royals)|It don't run in our blood|That kind of luxe just ain't for us|We crave a different kind of buzz|Let me be your ruler (Ruler)|You can call me queen bee|And baby, I'll rule (I'll rule, I'll rule, I'll rule)|Let me live that fantasy|My friends and I, we've cracked the code|We count our dollars on the train to the party|And everyone who knows us knows|That we're fine with this, we didn't come from money|But every song's like|Gold teeth, Grey Goose, trippin' in the bathroom|Bloodstains, ball gowns, trashin' the hotel room|We don't care, we're driving Cadillacs in our dreams|But everybody's like|Cristal, Maybach, diamonds on your timepiece|Jet planes, islands, tiger's on a gold leash|We don't care, we aren't caught up in your love affair|And we'll never be royals (Royals)|It don't run in our blood|That kind of luxe just ain't for us|We crave a different kind of buzz|Let me be your ruler (Ruler)|You can call me queen bee|And baby, I'll rule (I'll rule, I'll rule, I'll rule)|Let me live that fantasy|(Oh, oh-oh)|We're bigger than we ever dreamed|And I'm in love with being queen|(Oh, oh-oh)|Life is great without a care|We aren't caught up in your love affair|And we'll never be royals (Royals)|It don't run in our blood|That kind of luxe just ain't for us|We crave a different kind of buzz|Let me be your ruler (Ruler)|You can call me queen bee|And baby, I'll rule (I'll rule, I'll rule, I'll rule)|Let me live that fantasy|"
2013,5,"Eminem (featuring Rihanna)","The Monster","• Drake - 0 To 100 / The Catch Up|• Eminem - Rap God|• Kendrick Lamar - i|• Lecrae - All I Need Is You|Predictions|WinnerBEST RAP/SUNG COLLABORATION• Common featuring Jhené Aiko - Blak Majik|• Eminem featuring Rihanna - The Monster|• I Love Makonnen featuring Drake - Tuesday|• Schoolboy Q featuring BJ The Chicago Kid - Studio|• Kanye West & Charlie Wilson - Bound 2|Predictions|WinnerBEST RAP SONG• Anaconda|• Bound 2|• i|• We Dem Boyz|• 0 To 100 / The Catch Up|Predictions|WinnerBEST RAP ALBUM• Iggy Azalea - The New Classic|• Childish Gambino - Because The Internet|• Common - Nobody's Smiling|• Eminem - The Marshall Mathers LP2|• Schoolboy Q - Oxymoron|• Wiz Khalifa - Blacc Hollywood|Predictions|WinnerRECORD OF THE YEAR• Iggy Azalea featuring Charli XCX - Fancy|• Sia - Chandelier|• Sam Smith - Stay With Me (Darkchild Version)|• Taylor Swift - Shake It Off|• Meghan Trainor - All About That Bass|Predictions|WinnerALBUM OF THE YEAR• Beck - Morning Phase|• Beyoncé - Beyoncé|• Ed Sheeran - X|• Sam Smith - In The Lonely Hour|• Pharrell Williams - Girl|Predictions|WinnerSONG OF THE YEAR• All About That Bass|• Chandelier|• Shake It Off|• Stay With Me (Darkchild Version)|• Take Me To Church|Predictions|WinnerBEST NEW ARTIST• Iggy Azalea|• Bastille|• Brandy Clark|• Haim|• Sam Smith|Predictions|Winner|.7"
